template_name,discord_channel,meta_category,fuzi_category,event,audience,language,body_text,recommended_variables
"fuzi_ticket_created","#fuzi-ticket-created","UTILITY","Ticket Management","Ticket Created","customer","en","Dear {{1}},
Your support ticket has been created by Fuzi Elevators.

Ticket ID: {{2}}
Issue: {{3}}

Our team will review your request shortly.","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details"
"fuzi_ticket_assigned","#fuzi-ticket-assigned","UTILITY","Ticket Management","Ticket Assigned","customer","en","Dear {{1}},
Your Fuzi Elevators ticket {{2}} has been assigned to {{3}}.

Current status: {{4}}
We will keep you updated.","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_ticket_updated","#fuzi-ticket-updated","UTILITY","Ticket Management","Ticket Updated","customer","en","Dear {{1}},
Your Fuzi Elevators ticket {{2}} has been updated.

Update: {{3}}
Status: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_ticket_escalated","#fuzi-ticket-escalated","UTILITY","Ticket Management","Ticket Escalated","customer","en","Dear {{1}},
Your Fuzi Elevators ticket {{2}} has been escalated for priority review.

Reason: {{3}}
Our senior team will follow up shortly.","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details"
"fuzi_ticket_resolved","#fuzi-ticket-resolved","UTILITY","Ticket Management","Ticket Resolved","customer","en","Dear {{1}},
Your Fuzi Elevators ticket {{2}} has been marked as resolved.

Resolution: {{3}}
Please reply if you need further assistance.","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details"
"fuzi_ticket_closed","#fuzi-ticket-closed","UTILITY","Ticket Management","Ticket Closed","customer","en","Dear {{1}},
Your Fuzi Elevators ticket {{2}} has been closed.

Closed on: {{3}}
Thank you for contacting Fuzi Elevators.","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details"
"fuzi_ticket_reopened","#fuzi-ticket-reopened","UTILITY","Ticket Management","Ticket Reopened","customer","en","Dear {{1}},
Your Fuzi Elevators ticket {{2}} has been reopened.

Reason: {{3}}
Our team will continue working on it.","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details"
"fuzi_ticket_awaiting_customer_response","#fuzi-ticket-awaiting-customer-response","UTILITY","Ticket Management","Ticket Awaiting Customer Response","customer","en","Dear {{1}},
Fuzi Elevators needs your response to continue ticket {{2}}.

Required information: {{3}}
Please reply when available.","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details"
"fuzi_work_order_created","#fuzi-work-order-created","UTILITY","Work Order Management","Work Order Created","customer","en","Dear {{1}},
A Fuzi Elevators work order has been created for your request.

Work Order ID: {{2}}
Service: {{3}}
Scheduled date: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_technician_assigned","#fuzi-technician-assigned","UTILITY","Work Order Management","Technician Assigned","customer","en","Dear {{1}},
Fuzi Elevators has assigned technician {{2}} for {{3}}.

Scheduled time: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_technician_en_route","#fuzi-technician-en-route","UTILITY","Work Order Management","Technician En Route","customer","en","Dear {{1}},
Fuzi Elevators technician {{2}} is on the way for work order {{3}}.

Estimated arrival: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_technician_arrived_on_site","#fuzi-technician-arrived-on-site","UTILITY","Work Order Management","Technician Arrived On Site","customer","en","Dear {{1}},
Fuzi Elevators technician {{2}} has arrived at {{3}} for work order {{4}}.","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_work_started","#fuzi-work-started","UTILITY","Work Order Management","Work Started","customer","en","Dear {{1}},
Fuzi Elevators has started work on work order {{2}}.

Service activity: {{3}}
Start time: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_work_or_service_completed","#fuzi-work-or-service-completed","UTILITY","Work Order Management","Work Or Service Completed","customer","en","Dear {{1}},
Fuzi Elevators has completed work or service {{2}}.

Completion note: {{3}}
Completed on: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
